City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
162,Rocha,UY,59.77,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
164,Erenhot,CN,21.92,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
165,Yenagoa,NG,77.47,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
166,Atuona,PF,78.84,clear sky,-9.8,-139.0333,Villa Enata
171,Jalu,LY,55.4,clear sky,29.0331,21.5482,صاحبة الفخامة
172,Grand-Santi,GF,73.17,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
173,Burnie,AU,59.52,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
174,Ribeira Grande,PT,64.02,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
175,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
177,Hermanus,ZA,60.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
178,Sao Filipe,CV,75.29,few clouds,14.8961,-24.4956,Hotel Xaguate
179,Fare,PF,81.25,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
180,Ponta Do Sol,PT,65.03,clear sky,32.6667,-17.1,Hotel do Campo
182,Lompoc,US,67.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
183,Cape Town,ZA,61.21,light intensity drizzle,-33.9258,18.4232,Southern Sun Waterfront Cape Town
184,New Norfolk,AU,68.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
185,Khandbari,NP,56.86,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
187,Hobart,AU,69.26,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
189,Esperance,AU,67.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
190,Freeport,US,47.32,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
191,Saldanha,ZA,60.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
192,Dubti,ET,71.44,clear sky,11.7361,41.0853,degu Shiferaw
193,Port Hardy,CA,37.4,overcast clouds,50.6996,-127.4199,Airport Inn
194,Ushuaia,AR,46.06,broken clouds,-54.8,-68.3,Albatros Hotel
195,Butaritari,KI,80.98,moderate rain,3.0707,172.7902,Isles Sunset Lodge
196,Saint George,US,61.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
197,Nador,MA,59.25,scattered clouds,35.174,-2.9287,Hôtel La Giralda
198,Mataura,NZ,57.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
202,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
203,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
204,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
205,Calvinia,ZA,53.55,broken clouds,-31.4707,19.776,Die Lemoenhuis
206,Pergamino,AR,70.25,broken clouds,-33.89,-60.5736,Hotel Fachinat
207,Palermo,IT,48.74,overcast clouds,37.8167,13.5833,"Ponte Montagnola, Vicari"
208,Port Moresby,PG,83.62,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
209,Esperantina,BR,78.35,overcast clouds,-3.9017,-42.2336,Pousada Recanto Das Aguas
210,Ciampino,IT,47.62,scattered clouds,41.8016,12.6066,Central Station Inn
211,Beaufort,MY,77.16,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
212,Kushmurun,KZ,24.51,overcast clouds,52.4503,64.6311,Gostinitsa Pri Depo
213,Puli,TW,62.8,clear sky,23.9664,120.9695,小島好樂
214,Qui Nhon,VN,71.17,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
215,East London,ZA,68.34,overcast clouds,-33.0153,27.9116,Tu Casa
216,Kruisfontein,ZA,61.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
217,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
218,Ugoofaaru,MV,82.24,clear sky,5.6667,73.0,Ungoofaaru Inn
219,Axim,GH,79.52,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
220,Hithadhoo,MV,81.14,overcast clouds,-0.6,73.0833,Scoop Guest House
221,Kulhudhuffushi,MV,81.57,few clouds,6.6221,73.07,Haajy Guest House 1
222,Kingori,TZ,68.38,broken clouds,-3.2833,36.9833,Rafiki Hostel
223,Fortuna,US,52.41,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
224,Santa Fe,AR,78.03,light rain,-31.6333,-60.7,Conquistador Hotel
225,Nanortalik,GL,26.51,light snow,60.1432,-45.2371,Hotel Kap Farvel
227,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
230,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
231,Kutum,SD,61.32,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
234,Ancud,CL,67.53,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
235,Silver City,US,51.31,overcast clouds,32.7701,-108.2803,Copper Manor Motel
236,Machiques,VE,76.95,broken clouds,10.0644,-72.545,hotel el markes
237,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
239,Arraial Do Cabo,BR,74.37,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
241,Guerrero Negro,MX,63.39,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
242,West Wendover,US,46.51,overcast clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
