City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Yulara,AU,2021-11-28 22:02:52,-25.2406,130.9889,73.22,25,0,9.1
200,Fushun,CN,2021-11-28 22:03:51,41.8558,123.9233,37.11,92,82,5.26
201,Bontang,ID,2021-11-28 22:07:40,0.1333,117.5,75.09,90,100,4.79
202,Sahuaripa,MX,2021-11-28 22:07:41,29.05,-109.2333,81.45,19,11,8.32
203,Port Hedland,AU,2021-11-28 22:02:48,-20.3167,118.5667,75.25,78,21,4.61
204,Galle,LK,2021-11-28 22:07:20,6.0367,80.217,76.6,87,100,3.27
205,Tiksi,RU,2021-11-28 22:05:23,71.6872,128.8694,-14.3,99,99,6.49
206,Tera,NE,2021-11-28 22:07:42,14.0078,0.7531,81.28,12,100,8.72
207,Rawson,AR,2021-11-28 22:00:02,-43.3002,-65.1023,76.59,23,51,14.99
208,Gat,IL,2021-11-28 22:07:42,31.61,34.7642,61.48,39,39,1.72
209,Tiznit,MA,2021-11-28 22:07:43,29.5833,-9.5,56.59,42,0,4.07
210,Saskylakh,RU,2021-11-28 22:07:43,71.9167,114.0833,-20.83,100,99,4.34
211,La Ronge,CA,2021-11-28 21:59:18,55.1001,-105.2842,26.85,59,90,11.5
212,Santa Clarita,US,2021-11-28 22:07:44,34.3917,-118.5426,84.45,6,1,9.22
213,Clarence Town,AU,2021-11-28 22:07:44,-32.5833,151.7833,64.31,78,100,1.23
214,Havre-Saint-Pierre,CA,2021-11-28 22:04:03,50.2334,-63.5986,34.83,76,100,23.73
215,Bismarck,US,2021-11-28 22:05:32,46.8083,-100.7837,44.44,65,90,4.61
216,Provideniya,RU,2021-11-28 21:59:23,64.3833,-173.3,-5.69,59,0,6.71
217,San Patricio,US,2021-11-28 22:00:08,28.017,-97.5169,65.08,63,100,10.13
218,Kahului,US,2021-11-28 22:02:57,20.8947,-156.47,77.59,67,20,11.97
219,Shasta Lake,US,2021-11-28 22:07:45,40.6804,-122.3708,70.52,53,86,1.48
220,Farah,AF,2021-11-28 22:07:46,32.5,62.5,50.36,37,85,1.81
221,Nantong,CN,2021-11-28 22:07:07,32.0303,120.8747,57.27,87,79,4.65
222,Datong,CN,2021-11-28 22:07:46,40.0936,113.2914,31.84,55,100,5.06
223,Talnakh,RU,2021-11-28 22:05:24,69.4865,88.3972,-15.83,98,77,2.8
224,La Sarre,CA,2021-11-28 22:07:47,48.8002,-79.1996,16.41,89,91,0.74
225,Mantua,IT,2021-11-28 22:07:48,45.1667,10.7833,39.81,83,95,6.67
226,Vestmannaeyjar,IS,2021-11-28 22:01:26,63.4427,-20.2734,43.83,95,100,3.96
227,West Odessa,US,2021-11-28 22:07:54,31.8424,-102.4988,65.12,24,1,4.61
228,Lerik,AZ,2021-11-28 22:07:54,38.7726,48.4128,48.16,57,57,5.17
229,Filadelfia,US,2021-11-28 22:04:31,39.9523,-75.1638,46.51,54,40,6.91
230,Gladstone,AU,2021-11-28 22:07:55,-23.85,151.25,78.73,73,40,12.66
231,Paignton,GB,2021-11-28 22:07:55,50.4357,-3.5679,43.61,76,65,15.21
232,Zyryanka,RU,2021-11-28 22:07:56,65.75,150.85,-25.8,97,100,4.9
233,Xichang,CN,2021-11-28 22:07:56,27.8964,102.2634,44.92,85,26,1.3
234,Mahibadhoo,MV,2021-11-28 22:07:57,3.7833,72.9667,81.95,73,100,16.15
235,Ahuimanu,US,2021-11-28 22:07:57,21.4447,-157.8378,83.91,62,90,11.5
236,Husavik,IS,2021-11-28 22:00:31,66.0449,-17.3389,27.97,95,100,3.76
237,Aswan,EG,2021-11-28 22:07:58,24.0934,32.907,75.65,32,21,8.05
238,Bonthe,SL,2021-11-28 22:07:58,7.5264,-12.505,79.95,80,7,7.34
239,Vegueta,PE,2021-11-28 22:07:58,-11.0231,-77.6431,68.29,80,83,10.45
240,Sitka,US,2021-11-28 21:59:26,57.0531,-135.33,34.34,60,100,17.49
241,Fuyang,CN,2021-11-28 22:07:59,32.9,115.8167,45.9,85,0,4.92
242,Coahuayana,MX,2021-11-28 22:07:59,18.7333,-103.6833,92.68,48,0,6.51
243,Marawi,PH,2021-11-28 22:08:00,7.9986,124.2928,68.14,91,52,2.01
244,Mesyagutovo,RU,2021-11-28 22:08:00,55.5303,58.2528,26.33,73,100,7.85
245,Shinpokh,PK,2021-11-28 22:08:00,34.3292,71.1782,51.21,47,39,3.2
246,Tadine,NC,2021-11-28 22:06:13,-21.55,167.8833,80.02,79,50,12.15
247,Chino Valley,US,2021-11-28 22:08:01,34.7575,-112.4538,69.58,16,1,4.61
248,Souillac,MU,2021-11-28 22:00:30,-20.5167,57.5167,73.78,83,40,3.44
249,Airai,TL,2021-11-28 22:01:42,-8.9266,125.4092,62.37,85,100,1.3
250,Manggar,ID,2021-11-28 22:08:02,-2.8833,108.2667,79.2,84,100,10.92
251,Anadyr,RU,2021-11-28 22:02:56,64.75,177.4833,1.9,85,90,4.47
252,Sur,OM,2021-11-28 21:58:52,22.5667,59.5289,73.11,59,0,1.36
253,Grand Gaube,MU,2021-11-28 22:08:03,-20.0064,57.6608,73.8,69,5,7.83
254,Moncton,CA,2021-11-28 22:05:16,46.1159,-64.8019,28.45,73,12,9.31
255,Kawalu,ID,2021-11-28 22:08:03,-7.3817,108.2082,70.38,95,49,1.05
256,Broome,US,2021-11-28 22:08:04,42.2506,-75.833,32.77,100,90,8.05
257,Kaeo,NZ,2021-11-28 22:08:04,-35.1,173.7833,70.3,62,100,3.91
258,Ornskoldsvik,SE,2021-11-28 22:08:04,63.2909,18.7153,14.95,92,90,3.44
259,Cabo San Lucas,MX,2021-11-28 22:06:55,22.8909,-109.9124,81.7,69,90,6.91
260,Grindavik,IS,2021-11-28 22:08:05,63.8424,-22.4338,43.27,100,75,13.8
261,Neuquen,AR,2021-11-28 22:08:05,-38.9516,-68.0591,82.65,14,10,9.01
262,Mitsamiouli,KM,2021-11-28 22:05:43,-11.3847,43.2844,79.48,81,8,8.81
263,Nemuro,JP,2021-11-28 22:08:06,43.3236,145.575,42.4,70,7,11.21
264,Sorland,NO,2021-11-28 22:04:02,67.667,12.6934,31.86,59,100,13.96
265,Yaan,NG,2021-11-28 22:08:06,7.3833,8.5667,80.85,31,92,2.26
266,Nanortalik,GL,2021-11-28 22:00:15,60.1432,-45.2371,40.59,95,100,12.5
267,Yamada,JP,2021-11-28 22:08:07,39.4667,141.95,38.71,74,3,4.97
268,Guayaramerin,BO,2021-11-28 22:08:07,-10.8368,-65.3614,81.41,68,86,4.45
269,Fenoarivo,MG,2021-11-28 22:08:08,-18.933,47.4354,64.47,82,75,9.22
270,Hovd,MN,2021-11-28 21:58:38,48.0056,91.6419,15.26,36,9,1.32
271,Ayan,RU,2021-11-28 22:08:08,56.45,138.1667,6.58,71,8,17.43
272,Namatanai,PG,2021-11-28 22:01:50,-3.6667,152.4333,82.67,74,70,5.99
273,Hamilton,US,2021-11-28 21:55:30,39.1834,-84.5333,43.43,42,5,11.48
274,Zima,RU,2021-11-28 22:08:09,53.9202,102.0442,19.11,93,100,5.77
275,Praia Da Vitoria,PT,2021-11-28 21:59:23,38.7333,-27.0667,53.85,94,0,3.13
276,Khash,IR,2021-11-28 22:08:15,28.2211,61.2158,50.99,39,8,1.5
277,Vao,NC,2021-11-28 22:04:09,-22.6667,167.4833,76.12,87,21,20.76
278,Seddon,AU,2021-11-28 22:08:16,-37.8068,144.8916,67.21,65,0,4.61
279,Diamantina,BR,2021-11-28 22:08:17,-18.2494,-43.6003,64.63,87,22,5.03
280,Baruun-Urt,MN,2021-11-28 22:08:17,46.6806,113.2792,8.37,97,86,5.32
281,Los Llanos De Aridane,ES,2021-11-28 22:05:33,28.6585,-17.9182,60.55,82,75,14.97
282,Nyurba,RU,2021-11-28 22:08:18,63.2842,118.3319,-19.03,100,80,3.8
283,Makasar,ID,2021-11-28 22:08:18,-5.14,119.4221,73.45,100,20,2.3
284,Iqaluit,CA,2021-11-28 22:06:57,63.7506,-68.5145,21.15,76,100,11.21
285,Zaqatala,AZ,2021-11-28 22:08:20,41.6336,46.6433,51.35,64,69,4.83
286,Booue,GA,2021-11-28 22:08:20,-0.0921,11.9385,74.12,89,100,1.5
287,Bacolod,PH,2021-11-28 22:08:21,10.6667,122.95,76.53,85,31,6.62
288,Aklavik,CA,2021-11-28 22:08:21,68.2191,-135.0107,-10.25,87,100,18.1
289,Takoradi,GH,2021-11-28 22:08:22,4.8845,-1.7554,80.2,82,98,6.55
290,Barkly West,ZA,2021-11-28 22:08:22,-28.5354,24.5215,68.63,30,6,8.95
